42	1e-11	396.392765014957
42	1e-05	396.403367607458
42	0.001	396.39743845808
42	0.2	395.381306982364
42	0.4	394.655226888067
42	0.6	394.155984223775
42	0.8	393.831766824989
42	1	393.64347602394
42	1.1	393.590716152068
42	1.2	393.561376847458
42	1.3	393.552809470295
42	1.4	393.562687107418
42	1.5	393.588962154081
42	1.6	393.629829966011
42	1.7	393.683697647558
42	1.8	393.749157194134
42	1.9	393.824962333692
42	2	393.910008517152
42	2.1	394.003315595096
42	2.2	394.104012790826
42	2.3	394.21132564056
42	2.4	394.324564622189
42	2.5	394.443115236401
42	3	395.098280579801
42	3.2	395.382282412737
42	3.3	395.527785149798
42	3.5	395.824663886146
42	4.5	397.386340738436
42	5.5	399.012404991963
42	10	406.547333558213
