0.87	2.03	7.9	1.45	4.9	3.64	1.21	1.95	4.72	5.62
0.89	0.81	2.23	1.72	0	1.56	9.57	14.04	4.8	11.52
1.65	1.3	2.4	2.04	0	13.9	36.78	24.3	11.9	21.87
0.58	0.94	5.62	3.21	8.38	3.34	4.54	2.08	9.8	10.96
0.93	1.13	7.08	2.9	7.38	3.02	2.81	2.2	10.6	11.38
0.56	1.56	1.37	1.42	7.5	3.94	2.9	1.84	13.8	10.2
6.4	6.72	5.4	6	NAN	NAN	NAN	NAN	NAN	NAN
7.6	8.48	4.2	8.1	NAN	NAN	NAN	NAN	NAN	NAN
8.72	10.52	0.8	NAN	NAN	NAN	NAN	NAN	NAN	NAN
14.04	8	8.36	NAN	NAN	NAN	NAN	NAN	NAN	NAN
10.8	8.6	8.8	NAN	NAN	NAN	NAN	NAN	NAN	NAN
8	12	13.4	NAN	NAN	NAN	NAN	NAN	NAN	NAN
