7.96	0.82	4.06	10.42	1.04	16.38	10.2	9.6	15	18	12	13.8
7.7	2.22	23.2	7.98	9.68	5.5	12	15	12	14.4	11.7	15.6
5.8	9	0.46	5.76	8.18	20.64	4.68	6	0.4	16.8	10.8	16.8
6.34	11.76	10.38	4.1	6.18	5.3	9	11.1				
26.07	21.9	69.84	31.8	15.6	34.32						
13.74	33.6	22.71	4.8	8.13	7.17						
1.45	1.75	18.3	0.95	1.24	1.35						
3.15	1.29	21.99	2.24	2.65	2.32						
											
